Business Name,Status,Hours of Operation,Menu,District,Street Address,City,Zip,Phone Number,Website,How To Order,Delivery Options,Pickup Options,Helpful Details,Selling Gift Cards?,Dietary Accommodations
416 Diner,Limited Hours,Monday-Sunday 11am-7pm,https://www.416diner.com/menu,Oregon District,416 E 5th St,Dayton,,(937) 416-0416,https://www.416diner.com/,"Direct Call,Delivery Apps","GrubHub,Door Dash,Uber Eats",Carry Out,,,
Blind Bob's,Limited Hours,"Monday-Thursday 11am-7pm
Friday-Sunday 11am-10pm",http://blindbobs.com/menu.php,Oregon District,430 E 5th St,Dayton,,(937) 938-6405,http://blindbobs.com/,Direct Call,Direct from Restaurant ,"Curbside,Carry Out",,,
The Dublin Pub,Limited Hours,"Sunday 11am-2pm
Tuesday-Friday 3pm-7pm",https://www.dubpub.com/,Oregon District,300 Wayne Ave,Dayton,,(937) 224-7822 or (937) 224-0355,https://www.dubpub.com/,"Direct Call,Delivery Apps","GrubHub,Direct from Restaurant ",Carry Out,,,
Lily's Bistro,Limited Hours,"Dinner: Tuesday-Sunday 4pm-8pm
Brunch: Saturday-Sunday 10am-3pm",https://www.lilysbistro.com/dinner,Oregon District,329 E 5th St,Dayton,,(937) 723-7637,https://www.lilysbistro.com/,"Direct Call,Website",Direct from Restaurant ,"Carry Out,Curbside",,"""Yes, Online""","Vegetarian,Other"
Oregon Express,Limited Hours,"Monday-Thursday 11:30am-10pm
Friday 11:30 am-11pm
Saturday 4pm-10pm",http://new.oregonexpressdayton.com/img/oemenu.pdf,Oregon District,336 E 5th St,Dayton,,(937) 223-9205,http://new.oregonexpressdayton.com/,Direct Call,,Carry Out,,,
Press,Limited Hours,"Monday-Friday 7am-1pm
Saturday-Sunday 8am-2pm",,Oregon District,257 Wayne Ave.,Dayton,,(937) 286-4585,pressdayton.com,"Direct Call,Other (details below),Website",,Carry Out,,"""Yes, Online""",
Roost,Regular Hours,"Tuesday-Friday 5pm-10pm
Saturday 5pm-11pm
Sunday 5pm-9pm",https://app.upserve.com/s/roost-modern-italian-dayton,Oregon District,524 E 5th St,Dayton,,(937) 222-3100,https://roostitalian.com,Website,,Carry Out,,,
Thai 9,Regular Hours,"Lunch
Monday-Friday 11:30am-2:30pm
Dinner
Sunday-Thursday 5pm-9:30pm
Friday-Saturday 5pm-10pm
",http://www.thai9restaurant.com/dinner.html,Oregon District,11 Brown Street,Dayton,,(937) 222-3227,http://www.thai9restaurant.com/Main.html,Direct Call,,"Carry Out,Curbside",,,
Toxic Brew Co.,Regular Hours,"Monday-Thursday 3pm-1am
Friday-Saturday 1pm-2:30am
Sunday 1pm-12am",https://toxicbrewcompany.com/drinks/,Oregon District,431 E 5th St.,Dayton,,(937) 985-3618,https://toxicbrewcompany.com/,Direct Call,Direct from Restaurant ,Carry Out,,,
The Trolley Stop,Regular Hours,11am-2am,https://trolleystopdayton.com/food/,Oregon District,530 East 5th St.,Dayton,,(937) 461-1101,https://trolleystopdayton.com/,Direct Call,Direct from Restaurant ,"Carry Out,Curbside",,,
